"109年01月01日 至 109年12月31日 除權除息計算結果表"
"資料日期","股票代號","股票名稱","除權息前收盤價","除權息參考價","權值+息值","權/息","漲停價格","跌停價格","開盤競價基準","減除股利參考價","詳細資料","最近一次申報資料 季別/日期","最近一次申報每股 (單位)淨值","最近一次申報每股 (單位)盈餘",
"109年07月03日","3006","晶豪科","40.20","39.20","1.000000","息","43.10","35.30","39.20","39.20","除權息資料","110年第1季","32.80","2.30",
"109年07月03日","4952","凌通","32.55","30.75","1.800000","息","33.80","27.70","30.75","30.75","除權息資料","110年第1季","20.24","0.89",
"109年07月03日","4994","傳奇","74.50","73.50","1.000000","息","80.80","66.20","73.50","73.50","除權息資料","110年第1季","16.32","-0.01",
"109年07月03日","6669","緯穎","844.00","821.00","22.998816","息","903.00","739.00","821.00","821.00","除權息資料","110年第1季","149.86","9.72",
"109年07月03日","9943","好樂迪","72.60","67.69","4.901896","息","74.40","61.00","67.70","67.69","除權息資料","110年第1季","28.94","1.31",
"109年07月06日","1452","宏益","17.80","16.60","1.200000","息","18.25","14.95","16.60","16.60","除權息資料","110年第1季","20.23","1.01",
"109年07月06日","1560","中砂","66.20","63.40","2.800000","息","69.70","57.10","63.40","63.40","除權息資料","110年第1季","32.45","1.05",
"109年07月06日","1735","日勝化","17.35","16.70","0.650000","息","18.35","15.05","16.70","16.70","除權息資料","110年第1季","14.90","0.02",
"109年07月06日","1904","正隆","23.95","22.75","1.200000","息","25.00","20.50","22.75","22.75","除權息資料","110年第1季","24.09","1.12",
"109年07月06日","2032","新鋼","8.70","8.35","0.350000","息","9.18","7.52","8.35","8.35","除權息資料","110年第1季","13.48","0.38",
"109年07月06日","2417","圓剛","28.95","28.84","0.101580","息","31.70","26.00","28.85","28.84","除權息資料","110年第1季","21.90","0.46",
"109年07月06日","2433","互盛電","55.80","52.00","3.800000","息","57.20","46.80","52.00","52.00","除權息資料","110年第1季","30.42","0.61",
"109年07月06日","2454","聯發科","585.00","574.49","10.500859","息","631.00","518.00","574.00","574.49","除權息資料","110年第1季","260.17","16.21",
"109年07月06日","2617","台航","17.00","16.20","0.800000","息","17.80","14.60","16.20","16.20","除權息資料","110年第1季","26.91","0.37",
"109年07月06日","2637","慧洋-KY","25.20","23.23","1.966683","權息","25.55","20.95","23.25","23.23","除權息資料","110年第1季","38.92","1.19",
"109年07月06日","2820","華票","15.50","14.78","0.720000","息","16.25","13.35","14.80","14.78","除權息資料","110年第1季","19.12","0.40",
"109年07月06日","2883","開發金","9.47","8.87","0.600000","息","9.75","7.99","8.87","8.87","除權息資料","109年第4季","13.66","0.87",
"109年07月06日","2904","匯僑","25.25","23.60","1.650000","息","25.95","21.25","23.60","23.60","除權息資料","110年第1季","15.57","0.58",
"109年07月06日","3024","憶聲","10.25","10.03","0.220000","息","11.00","9.03","10.05","10.03","除權息資料","110年第1季","9.54","0.06",
"109年07月06日","3033","威健","15.55","14.97","0.577706","息","16.45","13.50","14.95","14.97","除權息資料","110年第1季","15.96","0.75",
"109年07月06日","3591","艾笛森","11.20","11.09","0.102211","息","12.15","9.99","11.10","11.09","除權息資料","110年第1季","21.05","0.29",
"109年07月06日","4532","瑞智","17.20","16.69","0.500019","息","18.35","15.05","16.70","16.69","除權息資料","110年第1季","18.00","0.27",
"109年07月06日","4755","三福化","55.00","52.50","2.500000","息","57.70","47.25","52.50","52.50","除權息資料","110年第1季","36.70","1.00",
"109年07月06日","6213","聯茂","150.50","145.50","5.000000","息","160.00","131.00","145.50","145.50","除權息資料","110年第1季","41.96","1.93",
"109年07月06日","6605","帝寶","51.20","49.70","1.500000","息","54.60","44.75","49.70","49.70","除權息資料","110年第1季","81.59","1.72",
"109年07月06日","8039","台虹","50.60","48.10","2.500000","息","52.90","43.30","48.10","48.10","除權息資料","110年第1季","36.58","0.83",
"109年07月06日","910861","神州-DR","9.65","9.52","0.121472","息","10.45","8.57","9.52","9.52","除權息資料","99年第4季","0.00","3.45",
"109年07月07日","1303","南亞","67.00","64.80","2.200000","息","71.20","58.40","64.80","64.80","除權息資料","110年第1季","46.22","2.23",
"109年07月07日","1477","聚陽","163.00","158.00","5.000000","息","173.50","142.50","158.00","158.00","除權息資料","110年第1季","48.74","2.92",
"109年07月07日","2453","凌群","19.05","18.05","1.000000","息","19.85","16.25","18.05","18.05","除權息資料","110年第1季","19.25","0.43",
"109年07月07日","2456","奇力新","94.30","90.93","3.369441","息","100.00","81.90","90.90","90.93","除權息資料","110年第1季","96.15","1.87",
"109年07月07日","2459","敦吉","42.15","39.14","3.008665","息","43.05","35.25","39.15","39.14","除權息資料","110年第1季","40.31","1.18",
"109年07月07日","2538","基泰","10.55","10.05","0.500000","息","11.05","9.05","10.05","10.05","除權息資料","110年第1季","14.37","0.01",
"109年07月07日","3019","亞光","72.10","70.10","2.000000","息","77.10","63.10","70.10","70.10","除權息資料","110年第1季","40.86","1.08",
"109年07月07日","3038","全台","25.00","23.80","1.200000","息","26.15","21.45","23.80","23.80","除權息資料","110年第1季","12.38","0.34",
"109年07月07日","3044","健鼎","141.00","133.75","7.250000","息","147.00","120.50","134.00","133.75","除權息資料","110年第1季","72.15","2.68",
"109年07月07日","3130","一零四","168.00","159.38","8.620000","息","175.00","143.50","159.50","159.38","除權息資料","110年第1季","47.11","3.13",
"109年07月07日","3231","緯創","38.65","36.60","2.042251","息","40.25","32.95","36.60","36.60","除權息資料","110年第1季","25.23","0.04",
"109年07月07日","3338","泰碩","90.50","88.41","2.086405","息","97.20","79.60","88.40","88.41","除權息資料","110年第1季","19.21","0.13",
"109年07月07日","4572","駐龍","99.90","94.90","5.000000","息","104.00","85.50","94.90","94.90","除權息資料","110年第1季","51.68","0.16",
"109年07月07日","4722","國精化","28.15","26.35","1.800000","息","28.95","23.75","26.35","26.35","除權息資料","110年第1季","26.91","0.94",
"109年07月07日","4906","正文","25.15","24.64","0.503150","息","27.10","22.20","24.65","24.64","除權息資料","110年第1季","30.31","0.36",
"109年07月07日","4930","燦星網","10.75","10.25","0.500000","息","11.25","9.23","10.25","10.25","除權息資料","110年第1季","25.21","0.50",
"109年07月07日","6136","富爾特","19.75","18.35","1.400000","息","20.15","16.55","18.35","18.35","除權息資料","110年第1季","23.34","-0.07",
"109年07月07日","6176","瑞儀","126.50","118.50","8.000000","息","130.00","107.00","118.50","118.50","除權息資料","110年第1季","66.46","3.58",
"109年07月07日","8081","致新","171.00","163.50","7.500000","息","179.50","147.50","163.50","163.50","除權息資料","110年第1季","58.27","4.66",
"109年07月08日","1219","福壽","21.50","21.09","0.400452","息","23.15","19.00","21.10","21.09","除權息資料","110年第1季","14.45","0.73",
"109年07月08日","1507","永大","57.80","55.60","2.200000","息","61.10","50.10","55.60","55.60","除權息資料","110年第1季","29.43","0.53",
"109年07月08日","1608","華榮","9.98","9.32","0.660000","息","10.25","8.39","9.32","9.32","除權息資料","110年第1季","18.12","2.06",
"109年07月08日","1773","勝一","129.00","105.66","23.333334","權息","116.00","95.10","105.50","105.66","除權息資料","110年第1季","34.07","2.10",
"109年07月08日","2373","震旦行","94.50","88.50","6.000000","息","97.30","79.70","88.50","88.50","除權息資料","110年第1季","35.29","1.15",
"109年07月08日","2421","建準","52.80","50.80","2.000000","息","55.80","45.75","50.80","50.80","除權息資料","110年第1季","18.61","0.37",
"109年07月08日","2425","承啟","24.95","24.65","0.300000","息","27.10","22.20","24.65","24.65","除權息資料","110年第1季","18.70","0.51",
"109年07月08日","2605","新興","15.85","15.35","0.500000","息","16.85","13.85","15.35","15.35","除權息資料","110年第1季","24.41","0.11",
"109年07月08日","2608","嘉里大榮","41.65","40.20","1.450000","息","44.20","36.20","40.20","40.20","除權息資料","110年第1季","22.64","0.65",
"109年07月08日","2612","中航","26.10","25.30","0.800000","息","27.80","22.80","25.30","25.30","除權息資料","110年第1季","50.81","1.12",
"109年07月08日","2633","台灣高鐵","37.15","35.93","1.210100","息","39.50","32.35","35.95","35.93","除權息資料","110年第1季","12.70","0.24",
"109年07月08日","3048","益登","18.35","17.35","1.000000","息","19.05","15.65","17.35","17.35","除權息資料","110年第1季","17.89","1.20",
"109年07月08日","3056","總太","39.40","36.40","3.000000","息","40.00","32.80","36.40","36.40","除權息資料","110年第1季","28.41","3.62",
"109年07月08日","3532","台勝科","136.00","132.50","3.500000","息","145.50","119.50","132.50","132.50","除權息資料","110年第1季","53.24","0.84",
"109年07月08日","4958","臻鼎-KY","137.00","132.50","4.500000","息","145.50","119.50","132.50","132.50","除權息資料","110年第1季","78.94","1.00",
"109年07月08日","6108","競國","23.30","21.70","1.600000","息","23.85","19.55","21.70","21.70","除權息資料","110年第1季","21.69","0.21",
"109年07月08日","6115","鎰勝","45.20","42.20","3.000000","息","46.40","38.00","42.20","42.20","除權息資料","110年第1季","25.91","0.75",
"109年07月08日","6205","詮欣","40.40","39.18","1.210565","息","43.05","35.30","39.20","39.18","除權息資料","110年第1季","25.99","0.30",
"109年07月08日","6215","和椿","15.40","14.90","0.500000","息","16.35","13.45","14.90","14.90","除權息資料","110年第1季","15.51","1.36",
"109年07月08日","8072","陞泰","27.30","27.10","0.200000","息","29.80","24.40","27.10","27.10","除權息資料","110年第1季","27.12","0.06",
"109年07月08日","8481","政伸","64.00","61.00","3.000000","息","67.10","54.90","61.00","61.00","除權息資料","110年第1季","22.74","1.41",
"109年07月08日","8499","鼎炫-KY","134.00","129.00","5.000000","息","141.50","116.50","129.00","129.00","除權息資料","110年第1季","61.65","3.14",
"109年07月08日","9188","精熙-DR","3.08","2.98","0.095650","息","3.27","2.69","2.98","2.98","除權息資料","97年第4季","0.00","0.83",
"109年07月09日","1232","大統益","127.00","122.00","5.000000","息","134.00","110.00","122.00","122.00","除權息資料","110年第1季","31.52","3.05",
"109年07月09日","1338","廣華-KY","59.10","55.60","3.500000","息","61.10","50.10","55.60","55.60","除權息資料","110年第1季","76.93","1.37",
"109年07月09日","1464","得力","21.65","20.15","1.500000","息","22.15","18.15","20.15","20.15","除權息資料","110年第1季","12.40","0.25",
"109年07月09日","1476","儒鴻","345.50","334.50","11.000000","息","367.50","301.50","334.50","334.50","除權息資料","110年第1季","74.75","4.95",
"109年07月09日","1521","大億","63.50","59.50","4.000000","息","65.40","53.60","59.50","59.50","除權息資料","110年第1季","23.36","0.28",
"109年07月09日","1708","東鹼","27.30","24.53","2.762963","權息","26.95","22.10","24.55","24.53","除權息資料","110年第1季","24.50","0.23",
"109年07月09日","1713","國化","18.55","17.97","0.580000","息","19.75","16.20","17.95","17.97","除權息資料","110年第1季","16.02","0.23",
"109年07月09日","1717","長興","34.30","32.90","1.400000","息","36.15","29.65","32.90","32.90","除權息資料","110年第1季","18.90","0.66",
"109年07月09日","1906","寶隆","13.05","12.55","0.500000","息","13.80","11.30","12.55","12.55","除權息資料","110年第1季","45.71","0.00",
"109年07月09日","2010","春源","10.05","9.75","0.300000","息","10.70","8.78","9.75","9.75","除權息資料","110年第1季","16.51","0.40",
"109年07月09日","2231","為升","156.50","146.49","10.003676","權息","161.00","132.00","146.50","146.49","除權息資料","110年第1季","27.53","1.61",
"109年07月09日","2312","金寶","10.85","10.54","0.305909","息","11.55","9.49","10.55","10.54","除權息資料","110年第1季","11.34","0.06",
"109年07月09日","2313","華通","49.80","48.60","1.200000","息","53.40","43.75","48.60","48.60","除權息資料","110年第1季","25.16","0.78",
"109年07月09日","2338","光罩","28.90","27.90","1.000000","息","30.65","25.15","27.90","27.90","除權息資料","110年第1季","18.95","1.64",
"109年07月09日","2362","藍天","30.65","30.25","0.400000","息","33.25","27.25","30.25","30.25","除權息資料","110年第1季","67.49","0.54",
"109年07月09日","2493","揚博","36.95","34.45","2.500000","息","37.85","31.05","34.45","34.45","除權息資料","110年第1季","18.85","0.78",
"109年07月09日","2634","漢翔","29.75","28.56","1.190000","息","31.40","25.75","28.55","28.56","除權息資料","110年第1季","14.55","-0.28",
"109年07月09日","3028","增你強","20.00","18.99","1.000351","息","20.85","17.10","19.00","18.99","除權息資料","110年第1季","21.47","0.90",
"109年07月09日","3266","昇陽","13.95","13.45","0.500000","息","14.75","12.15","13.45","13.45","除權息資料","110年第1季","14.57","-0.03",
"109年07月09日","3705","永信","50.60","48.40","2.200000","息","53.20","43.60","48.40","48.40","除權息資料","110年第1季","24.54","0.62",
"109年07月09日","5234","達興材料","92.00","87.00","5.000000","息","95.70","78.30","87.00","87.00","除權息資料","110年第1季","29.81","1.58",
"109年07月09日","5388","中磊","86.20","83.17","3.024261","息","91.40","74.90","83.20","83.17","除權息資料","110年第1季","32.17","0.56",
"109年07月09日","6024","群益期","40.10","38.20","1.900000","息","42.00","34.40","38.20","38.20","除權息資料","110年第1季","31.08","0.76",
"109年07月09日","6197","佳必琪","43.70","40.70","3.000000","息","44.75","36.65","40.70","40.70","除權息資料","110年第1季","22.05","0.48",
"109年07月09日","8046","南電","88.10","87.40","0.700000","息","96.10","78.70","87.40","87.40","除權息資料","110年第1季","52.45","2.45",
"109年07月09日","8131","福懋科","39.85","37.65","2.200000","息","41.40","33.90","37.65","37.65","除權息資料","110年第1季","27.83","0.82",
"109年07月09日","8163","達方","40.20","37.90","2.300000","息","41.65","34.15","37.90","37.90","除權息資料","110年第1季","31.84","0.72",
"109年07月09日","8249","菱光","19.40","18.20","1.200000","息","20.00","16.40","18.20","18.20","除權息資料","110年第1季","28.91","0.31",
"109年07月09日","8367","建新國際","25.70","24.60","1.100000","息","27.05","22.15","24.60","24.60","除權息資料","110年第1季","27.47","0.94",
"109年07月09日","8374","羅昇","21.85","21.55","0.300000","息","23.70","19.40","21.55","21.55","除權息資料","110年第1季","18.01","0.44",
"109年07月10日","1233","天仁","38.25","36.65","1.600000","息","40.30","33.00","36.65","36.65","除權息資料","110年第1季","16.45","0.18",
"109年07月10日","1323","永裕","33.70","32.10","1.600000","息","35.30","28.90","32.10","32.10","除權息資料","110年第1季","23.44","0.62",
"109年07月10日","1417","嘉裕","10.95","10.45","0.500000","息","11.45","9.41","10.45","10.45","除權息資料","110年第1季","14.04","0.52",
"109年07月10日","1568","倉佑","16.40","15.89","0.503634","息","17.45","14.35","15.90","15.89","除權息資料","110年第1季","14.21","-0.02",
"109年07月10日","2114","鑫永銓","85.30","80.30","5.000000","息","88.30","72.30","80.30","80.30","除權息資料","110年第1季","37.41","1.78",
"109年07月10日","2597","潤弘","66.60","62.10","4.500000","息","68.30","55.90","62.10","62.10","除權息資料","110年第1季","36.07","2.74",
"109年07月10日","3014","聯陽","74.60","71.30","3.300000","息","78.40","64.20","71.30","71.30","除權息資料","110年第1季","32.98","2.33",
"109年07月10日","3016","嘉晶","72.20","71.95","0.247216","息","79.10","64.80","72.00","71.95","除權息資料","110年第1季","14.44","0.16",
"109年07月10日","3090","日電貿","54.00","50.50","3.500000","息","55.50","45.45","50.50","50.50","除權息資料","110年第1季","24.60","1.25",
"109年07月10日","3296","勝德","13.20","12.92","0.274187","息","14.20","11.65","12.90","12.92","除權息資料","110年第1季","14.75","-0.36",
"109年07月10日","4164","承業醫","48.50","46.50","1.996702","息","51.10","41.85","46.50","46.50","除權息資料","110年第1季","38.12","0.67",
"109年07月10日","5434","崇越","122.00","115.50","6.500000","息","127.00","104.00","115.50","115.50","除權息資料","110年第1季","52.67","2.50",
"109年07月10日","6271","同欣電","147.50","145.05","2.444841","息","159.50","131.00","145.00","145.05","除權息資料","110年第1季","121.40","2.68",
"109年07月10日","8463","潤泰材","39.50","39.01","0.490000","息","42.90","35.15","39.00","39.01","除權息資料","110年第1季","16.19","0.18",
"109年07月13日","1414","東和","7.21","7.01","0.200000","息","7.71","6.31","7.01","7.01","除權息資料","110年第1季","14.43","0.08",
"109年07月13日","1434","福懋","36.25","33.75","2.500000","息","37.10","30.40","33.75","33.75","除權息資料","110年第1季","36.83","0.34",
"109年07月13日","1598","岱宇","68.00","66.89","1.105891","息","73.50","60.30","66.90","66.89","除權息資料","110年第1季","30.70","2.10",
"109年07月13日","1710","東聯","16.80","16.50","0.300000","息","18.15","14.85","16.50","16.50","除權息資料","110年第1季","14.56","0.64",
"109年07月13日","2108","南帝","38.50","36.40","2.100000","息","40.00","32.80","36.40","36.40","除權息資料","110年第1季","23.51","5.45",
"109年07月13日","2316","楠梓電","31.30","30.80","0.500000","息","33.85","27.75","30.80","30.80","除權息資料","110年第1季","41.56","0.58",
"109年07月13日","2348","海悅","78.80","74.47","4.329747","息","81.90","67.10","74.50","74.47","除權息資料","110年第1季","38.74","4.90",
"109年07月13日","2401","凌陽","12.30","12.00","0.300000","息","13.20","10.80","12.00","12.00","除權息資料","110年第1季","14.69","0.37",
"109年07月13日","2449","京元電子","38.55","36.75","1.800000","息","40.40","33.10","36.75","36.75","除權息資料","110年第1季","25.22","0.94",
"109年07月13日","2547","日勝生","10.65","10.04","0.608141","息","11.00","9.04","10.05","10.04","除權息資料","110年第1季","13.00","0.00",
"109年07月13日","2891","中信金","20.90","19.90","1.000000","息","21.85","17.95","19.90","19.90","除權息資料","109年第4季","20.26","2.15",
"109年07月13日","2891B","中信金乙特","67.50","65.25","2.250000","息","71.70","58.80","65.30","65.25","除權息資料","109年第4季","20.26","2.15",
"109年07月13日","2891C","中信金丙特","64.40","62.96","1.436054","息","69.20","56.70","63.00","62.96","除權息資料","109年第4季","20.26","2.15",
"109年07月13日","3013","晟銘電","13.50","13.20","0.300000","息","14.50","11.90","13.20","13.20","除權息資料","110年第1季","15.23","0.08",
"109年07月13日","3034","聯詠","285.50","275.00","10.500000","息","302.50","247.50","275.00","275.00","除權息資料","110年第1季","75.63","9.66",
"109年07月13日","3050","鈺德","10.10","9.60","0.500000","息","10.55","8.64","9.60","9.60","除權息資料","110年第1季","15.96","0.17",
"109年07月13日","3376","新日興","161.50","155.02","6.476283","權息","173.00","140.00","157.50","157.50","除權息資料","110年第1季","83.33","1.54",
"109年07月13日","4119","旭富","133.50","127.70","5.800000","息","140.00","115.00","127.50","127.70","除權息資料","110年第1季","42.10","0.52",
"109年07月13日","4571","鈞興-KY","67.60","64.30","3.300000","息","70.70","57.90","64.30","64.30","除權息資料","110年第1季","39.90","2.68",
"109年07月13日","4912","聯德控股-KY","89.30","86.77","2.526880","息","95.40","78.10","86.80","86.77","除權息資料","110年第1季","56.17","3.01",
"109年07月13日","5215","科嘉-KY","145.00","142.00","3.000000","息","156.00","128.00","142.00","142.00","除權息資料","110年第1季","46.18","3.12",
"109年07月13日","5538","東明-KY","29.55","28.05","1.500000","息","30.85","25.25","28.05","28.05","除權息資料","110年第1季","25.79","1.20",
"109年07月13日","6155","鈞寶","24.20","23.16","1.040000","息","25.45","20.85","23.15","23.16","除權息資料","110年第1季","16.56","0.22",
"109年07月13日","6192","巨路","69.70","66.40","3.300000","息","73.00","59.80","66.40","66.40","除權息資料","110年第1季","47.02","1.62",
"109年07月13日","6214","精誠","88.30","83.30","5.000000","息","91.60","75.00","83.30","83.30","除權息資料","110年第1季","56.97","2.03",
"109年07月13日","6533","晶心科","158.00","157.65","0.340122","息","173.00","142.00","157.50","157.65","除權息資料","110年第1季","27.94","0.65",
"109年07月13日","6592","和潤企業","86.10","83.00","3.100000","息","91.30","74.70","83.00","83.00","除權息資料","110年第1季","43.20","1.52",
"109年07月13日","6641","基士德-KY","69.20","64.63","4.567164","息","71.00","58.20","64.60","64.63","除權息資料","110年第1季","38.74","0.84",
"109年07月13日","6655","科定","42.55","40.55","2.000000","息","44.60","36.50","40.55","40.55","除權息資料","110年第1季","34.77","0.99",
"109年07月13日","8104","錸寶","53.50","53.15","0.350000","息","58.40","47.85","53.20","53.15","除權息資料","110年第1季","30.72","1.01",
"109年07月13日","8210","勤誠","96.90","92.30","4.600000","息","101.50","83.10","92.30","92.30","除權息資料","110年第1季","33.48","1.05",
"109年07月13日","8222","寶一","14.75","14.30","0.450000","息","15.70","12.90","14.30","14.30","除權息資料","110年第1季","12.01","-0.43",
"109年07月13日","9926","新海","42.60","40.90","1.700000","息","44.95","36.85","40.90","40.90","除權息資料","110年第1季","19.24","0.70",
"109年07月14日","1236","宏亞","13.00","12.70","0.300000","息","13.95","11.45","12.70","12.70","除權息資料","110年第1季","15.29","0.57",
"109年07月14日","1256","鮮活果汁-KY","213.50","207.30","6.200000","息","228.00","187.00","207.50","207.30","除權息資料","110年第1季","83.26","5.88",
"109年07月14日","1312A","國喬特","30.25","29.65","0.600000","息","32.60","26.70","29.65","29.65","除權息資料","110年第1季","32.93","2.13",
"109年07月14日","1515","力山","80.90","77.90","3.000000","息","85.60","70.20","77.90","77.90","除權息資料","110年第1季","18.75","1.79",
"109年07月14日","2207","和泰車","748.00","734.00","14.000000","息","807.00","661.00","734.00","734.00","除權息資料","110年第1季","112.30","9.16",
"109年07月14日","2462","良得電","26.55","25.85","0.700000","息","28.40","23.30","25.85","25.85","除權息資料","110年第1季","17.97","-0.30",
"109年07月14日","2477","美隆電","23.40","21.80","1.600000","息","23.95","19.65","21.80","21.80","除權息資料","110年第1季","22.65","7.34",
"109年07月14日","2816","旺旺保","20.05","19.17","0.880000","息","21.05","17.30","19.15","19.17","除權息資料","110年第1季","27.19","0.95",
"109年07月14日","2889","國票金","12.20","11.54","0.652290","息","12.65","10.40","11.55","11.54","除權息資料","109年第4季","13.25","1.12",
"109年07月14日","2908","特力","22.00","21.29","0.709999","息","23.40","19.20","21.30","21.29","除權息資料","110年第1季","12.90","0.56",
"109年07月14日","3450","聯鈞","78.60","77.60","1.000000","息","85.30","69.90","77.60","77.60","除權息資料","110年第1季","27.20","0.62",
"109年07月14日","3645","達邁","39.80","39.30","0.500000","息","43.20","35.40","39.30","39.30","除權息資料","110年第1季","21.99","0.69",
"109年07月14日","3706","神達","34.20","29.64","4.557143","權息","32.60","26.70","29.65","29.64","除權息資料","110年第1季","36.03","0.57",
"109年07月14日","4904","遠傳","69.00","65.75","3.250000","息","72.30","59.20","65.80","65.75","除權息資料","110年第1季","21.22","0.56",
"109年07月14日","6166","凌華","85.20","83.60","1.600000","息","91.90","75.30","83.60","83.60","除權息資料","110年第1季","20.78","0.01",
"109年07月14日","6451","訊芯-KY","128.50","124.83","3.669145","息","137.00","112.50","125.00","124.83","除權息資料","110年第1季","60.10","2.16",
"109年07月14日","6456","GIS-KY","117.50","114.00","3.500000","息","125.00","103.00","114.00","114.00","除權息資料","110年第1季","81.98","0.67",
"109年07月14日","9802","鈺齊-KY","106.50","100.98","5.518897","息","111.00","90.90","101.00","100.98","除權息資料","110年第1季","45.76","1.75",
"109年07月14日","9908","大台北","31.65","30.55","1.100000","息","33.60","27.50","30.55","30.55","除權息資料","110年第1季","23.38","0.41",
"109年07月15日","1582","信錦","82.80","78.30","4.500000","息","86.10","70.50","78.30","78.30","除權息資料","110年第1季","48.44","1.02",
"109年07月15日","1618","合機","8.76","8.46","0.300000","息","9.30","7.62","8.46","8.46","除權息資料","110年第1季","19.91","0.28",
"109年07月15日","1723","中碳","105.00","100.00","5.000000","息","110.00","90.00","100.00","100.00","除權息資料","110年第1季","29.35","1.01",
"109年07月15日","1907","永豐餘","14.30","13.60","0.700000","息","14.95","12.25","13.60","13.60","除權息資料","110年第1季","27.37","0.94",
"109年07月15日","2027","大成鋼","25.80","24.31","1.486275","權息","26.70","21.90","24.30","24.31","除權息資料","110年第1季","19.26","0.88",
"109年07月15日","2031","新光鋼","24.55","23.74","0.809114","息","26.10","21.40","23.75","23.74","除權息資料","110年第1季","27.33","2.00",
"109年07月15日","2034","允強","25.50","24.00","1.500000","息","26.40","21.60","24.00","24.00","除權息資料","110年第1季","19.87","0.45",
"109年07月15日","2303","聯電","16.80","15.99","0.803956","息","17.55","14.40","16.00","15.99","除權息資料","110年第1季","20.12","0.85",
"109年07月15日","2356","英業達","27.70","26.40","1.300000","息","29.00","23.80","26.40","26.40","除權息資料","110年第1季","14.65","0.32",
"109年07月15日","2376","技嘉","73.70","71.50","2.200000","息","78.60","64.40","71.50","71.50","除權息資料","110年第1季","48.39","4.34",
"109年07月15日","2501","國建","20.10","19.10","1.000000","息","21.00","17.20","19.10","19.10","除權息資料","110年第1季","21.35","-0.01",
"109年07月15日","2520","冠德","32.55","31.05","1.500000","息","34.15","27.95","31.05","31.05","除權息資料","110年第1季","31.99","1.09",
"109年07月15日","2546","根基","44.45","41.45","3.000000","息","45.55","37.35","41.45","41.45","除權息資料","110年第1季","30.65","1.10",
"109年07月15日","2903","遠百","25.20","24.40","0.800000","息","26.80","22.00","24.40","24.40","除權息資料","110年第1季","22.90","0.50",
"109年07月15日","3037","欣興","52.20","51.10","1.091860","息","56.20","46.00","51.10","51.10","除權息資料","110年第1季","34.46","1.49",
"109年07月15日","3665","貿聯-KY","217.50","208.50","9.000000","息","229.00","188.00","208.50","208.50","除權息資料","110年第1季","96.59","2.35",
"109年07月15日","4935","茂林-KY","118.00","116.50","1.500000","息","128.00","105.00","116.50","116.50","除權息資料","110年第1季","57.79","2.49",
"109年07月15日","5546","永固-KY","67.60","63.60","4.000000","息","69.90","57.30","63.60","63.60","除權息資料","110年第1季","41.12","0.54",
"109年07月15日","6285","啟碁","68.00","65.49","2.500051","息","72.00","59.00","65.50","65.49","除權息資料","110年第1季","43.14","0.70",
"109年07月15日","6405","悅城","15.40","14.90","0.500000","息","16.35","13.45","14.90","14.90","除權息資料","110年第1季","30.18","0.88",
"109年07月15日","8926","台汽電","41.35","39.65","1.700000","息","43.60","35.70","39.65","39.65","除權息資料","110年第1季","20.96","0.51",
"109年07月16日",="00714","群益道瓊美國地產","18.19","18.04","0.150000","息","9,999.95","0.01","18.04","18.04","除權息資料","","","",
"109年07月16日","1104","環泥","18.40","17.40","1.000000","息","19.10","15.70","17.40","17.40","除權息資料","110年第1季","28.89","0.35",
"109年07月16日","1109","信大","18.10","17.00","1.100000","息","18.70","15.30","17.00","17.00","除權息資料","110年第1季","22.68","0.83",
"109年07月16日","1227","佳格","67.60","64.95","2.650000","息","71.40","58.50","65.00","64.95","除權息資料","110年第1季","20.16","0.62",
"109年07月16日","1234","黑松","34.10","32.40","1.700000","息","35.60","29.20","32.40","32.40","除權息資料","110年第1季","45.29","0.33",
"109年07月16日","1325","恆大","153.50","153.20","0.300000","息","168.50","138.00","153.00","153.20","除權息資料","110年第1季","45.62","1.84",
"109年07月16日","1535","中宇","33.00","31.80","1.200000","息","34.95","28.65","31.80","31.80","除權息資料","110年第1季","24.68","0.72",
"109年07月16日","1609","大亞","11.25","10.94","0.302798","息","12.00","9.85","10.95","10.94","除權息資料","110年第1季","13.98","0.74",
"109年07月16日","1614","三洋電","38.00","37.16","0.832870","息","40.85","33.45","37.15","37.16","除權息資料","110年第1季","19.75","0.23",
"109年07月16日","1725","元禎","14.75","13.94","0.810000","息","15.30","12.55","13.95","13.94","除權息資料","110年第1季","18.93","0.30",
"109年07月16日","2029","盛餘","17.80","17.65","0.150000","息","19.40","15.90","17.65","17.65","除權息資料","110年第1季","27.92","0.86",
"109年07月16日","2397","友通","84.80","79.80","5.000000","息","87.70","71.90","79.80","79.80","除權息資料","110年第1季","26.30","0.58",
"109年07月16日","2402","毅嘉","13.85","13.35","0.500000","息","14.65","12.05","13.35","13.35","除權息資料","110年第1季","18.72","0.13",
"109年07月16日","2419","仲琦","22.60","21.80","0.800000","息","23.95","19.65","21.80","21.80","除權息資料","110年第1季","15.53","0.00",
"109年07月16日","2481","強茂","28.65","27.59","1.052213","息","30.30","24.85","27.60","27.59","除權息資料","110年第1季","20.75","0.88",
"109年07月16日","2504","國產","18.00","17.70","0.300000","息","19.45","15.95","17.70","17.70","除權息資料","110年第1季","17.69","0.45",
"109年07月16日","2614","東森","17.20","16.20","1.000000","息","17.80","14.60","16.20","16.20","除權息資料","110年第1季","10.57","0.10",
"109年07月16日","2707","晶華","147.00","143.07","3.920600","息","157.00","129.00","143.00","143.07","除權息資料","110年第1季","23.60","2.11",
